,urls
0,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN212389422&_cid=P10-MIYK57-76954-1
1,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN212392020&_cid=P10-MIYK57-76954-1
2,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024129669&_cid=P10-MIYK57-76954-1
3,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP11995979&_cid=P10-MIYK57-76954-1
4,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211818225&_cid=P10-MIYK57-76954-1
5,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN389954604&_cid=P10-MIYK57-76954-1
6,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP159615181&_cid=P10-MIYK57-76954-1
7,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211693741&_cid=P10-MIYK57-76954-1
8,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014111862&_cid=P10-MIYK57-76954-1
9,https://patentscope.wipo.int/search/en/detail.jsf?docId=NO413576669&_cid=P10-MIYK57-76954-1
10,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022180232&_cid=P10-MIYK57-76954-1
11,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2007012150&_cid=P10-MIYK57-76954-1
12,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA219978119&_cid=P10-MIYK57-76954-1
13,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2012154553&_cid=P10-MIYK57-76954-1
14,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024064387&_cid=P10-MIYK57-76954-1
15,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA349322634&_cid=P10-MIYK57-76954-1
16,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO1997005088&_cid=P10-MIYK57-76954-1
17,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93819894&_cid=P10-MIYK57-76954-1
18,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP370968980&_cid=P10-MIYK57-76954-1
19,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021064527&_cid=P10-MIYK57-76954-1
20,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB137524961&_cid=P10-MIYK57-76954-1
21,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017114882&_cid=P10-MIYK57-76954-1
22,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2009127950&_cid=P10-MIYK57-76954-1
23,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2012044178&_cid=P10-MIYK57-76954-1
24,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB137499424&_cid=P10-MIYK57-76954-1
25,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP439571378&_cid=P10-MIYK57-76954-1
26,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38148206&_cid=P10-MIYK57-76954-1
27,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP133271958&_cid=P10-MIYK57-76954-1
28,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014004214&_cid=P10-MIYK57-76954-1
29,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2010006386&_cid=P10-MIYK57-76954-1
30,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP458121340&_cid=P10-MIYK57-76954-1
31,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025124744&_cid=P10-MIYK57-76954-1
32,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP15054843&_cid=P10-MIYK57-76954-1
33,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94373502&_cid=P10-MIYK57-76954-1
34,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2007122498&_cid=P10-MIYK57-76954-1
35,https://patentscope.wipo.int/search/en/detail.jsf?docId=US43243945&_cid=P10-MIYK57-76954-1
36,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93704955&_cid=P10-MIYK57-76954-1
37,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP45862645&_cid=P10-MIYK57-76954-1
38,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2001034538&_cid=P10-MIYK57-76954-1
39,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94536925&_cid=P10-MIYK57-76954-1
40,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2010149263&_cid=P10-MIYK57-76954-1
41,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94560654&_cid=P10-MIYK57-76954-1
42,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP321939616&_cid=P10-MIYK57-76954-1
43,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019239009&_cid=P10-MIYK57-76954-1
44,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP369789669&_cid=P10-MIYK57-76954-1
45,https://patentscope.wipo.int/search/en/detail.jsf?docId=NZ430069255&_cid=P10-MIYK57-76954-1
46,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021048467&_cid=P10-MIYK57-76954-1
47,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022248915&_cid=P10-MIYK57-76954-1
48,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022248987&_cid=P10-MIYK57-76954-1
49,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023091165&_cid=P10-MIYK57-76954-1
50,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP427177083&_cid=P10-MIYK57-76954-1
51,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP439568787&_cid=P10-MIYK57-76954-1
52,https://patentscope.wipo.int/search/en/detail.jsf?docId=US41500143&_cid=P10-MIYK57-76954-1
53,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA144983439&_cid=P10-MIYK57-76954-1
54,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP433579922&_cid=P10-MIYK57-76954-1
55,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP11406051&_cid=P10-MIYK57-76954-1
56,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP335034405&_cid=P10-MIYK57-76954-1
57,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021170590&_cid=P10-MIYK57-76954-1
58,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019003151&_cid=P10-MIYK57-76954-1
59,https://patentscope.wipo.int/search/en/detail.jsf?docId=SE409518252&_cid=P10-MIYK57-76954-1
60,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA105504648&_cid=P10-MIYK57-76954-1
61,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP107068264&_cid=P10-MIYK57-76954-1
62,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP177790042&_cid=P10-MIYK57-76954-1
63,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211651952&_cid=P10-MIYK57-76954-1
64,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211707272&_cid=P10-MIYK57-76954-1
65,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017197167&_cid=P10-MIYK57-76954-1
66,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP14989304&_cid=P10-MIYK57-76954-1
67,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015071443&_cid=P10-MIYK57-76954-1
68,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA174265760&_cid=P10-MIYK57-76954-1
69,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2020132546&_cid=P10-MIYK57-76954-1
70,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018051198&_cid=P10-MIYK57-76954-1
71,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025248216&_cid=P10-MIYK57-76954-1
72,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP315299741&_cid=P10-MIYK57-76954-1
73,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021008736&_cid=P10-MIYK57-76954-1
74,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP389041578&_cid=P10-MIYK57-76954-1
75,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018020347&_cid=P10-MIYK57-76954-1
76,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB137470876&_cid=P10-MIYK57-76954-1
77,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024010614&_cid=P10-MIYK57-76954-1
78,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP455657439&_cid=P10-MIYK57-76954-1
79,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP461049471&_cid=P10-MIYK57-76954-1
80,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP86157936&_cid=P10-MIYK57-76954-1
81,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94272160&_cid=P10-MIYK57-76954-1
82,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94735792&_cid=P10-MIYK57-76954-1
83,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211812672&_cid=P10-MIYK57-76954-1
