,urls
0,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP14992650&_cid=P11-MIZJRQ-12597-1
1,https://patentscope.wipo.int/search/en/detail.jsf?docId=KR105679364&_cid=P11-MIZJRQ-12597-1
2,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2005054163&_cid=P11-MIZJRQ-12597-1
3,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023129688&_cid=P11-MIZJRQ-12597-1
4,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP75570686&_cid=P11-MIZJRQ-12597-1
5,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP96163259&_cid=P11-MIZJRQ-12597-1
6,https://patentscope.wipo.int/search/en/detail.jsf?docId=US40861991&_cid=P11-MIZJRQ-12597-1
7,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA192393898&_cid=P11-MIZJRQ-12597-1
8,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2003083013&_cid=P11-MIZJRQ-12597-1
9,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015184290&_cid=P11-MIZJRQ-12597-1
10,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP326387793&_cid=P11-MIZJRQ-12597-1
11,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP442297073&_cid=P11-MIZJRQ-12597-1
12,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2020023098&_cid=P11-MIZJRQ-12597-1
13,https://patentscope.wipo.int/search/en/detail.jsf?docId=US41520361&_cid=P11-MIZJRQ-12597-1
14,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94367890&_cid=P11-MIZJRQ-12597-1
15,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014014818&_cid=P11-MIZJRQ-12597-1
16,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA130962859&_cid=P11-MIZJRQ-12597-1
17,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP11193802&_cid=P11-MIZJRQ-12597-1
18,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2009088784&_cid=P11-MIZJRQ-12597-1
