,urls
0,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38057317&_cid=P11-MIZJXC-16524-1
1,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37914811&_cid=P11-MIZJXC-16524-1
2,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN219621910&_cid=P11-MIZJXC-16524-1
3,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38138611&_cid=P11-MIZJXC-16524-1
4,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA213442293&_cid=P11-MIZJXC-16524-1
5,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP221777705&_cid=P11-MIZJXC-16524-1
6,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017027499&_cid=P11-MIZJXC-16524-1
7,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2020043758&_cid=P11-MIZJXC-16524-1
8,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021133657&_cid=P11-MIZJXC-16524-1
9,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP173337684&_cid=P11-MIZJXC-16524-1
10,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211703073&_cid=P11-MIZJXC-16524-1
11,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015000848&_cid=P11-MIZJXC-16524-1
12,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38674595&_cid=P11-MIZJXC-16524-1
13,https://patentscope.wipo.int/search/en/detail.jsf?docId=US41490240&_cid=P11-MIZJXC-16524-1
14,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2006016949&_cid=P11-MIZJXC-16524-1
15,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP14652152&_cid=P11-MIZJXC-16524-1
16,https://patentscope.wipo.int/search/en/detail.jsf?docId=US43246310&_cid=P11-MIZJXC-16524-1
17,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP15090143&_cid=P11-MIZJXC-16524-1
18,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP429862203&_cid=P11-MIZJXC-16524-1
19,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36811024&_cid=P11-MIZJXC-16524-1
20,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2013052232&_cid=P11-MIZJXC-16524-1
21,https://patentscope.wipo.int/search/en/detail.jsf?docId=ZA1418353&_cid=P11-MIZJXC-16524-1
22,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37632722&_cid=P11-MIZJXC-16524-1
23,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93672232&_cid=P11-MIZJXC-16524-1
24,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP11083814&_cid=P11-MIZJXC-16524-1
25,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94256411&_cid=P11-MIZJXC-16524-1
26,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP14742154&_cid=P11-MIZJXC-16524-1
27,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37947657&_cid=P11-MIZJXC-16524-1
28,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94282248&_cid=P11-MIZJXC-16524-1
29,https://patentscope.wipo.int/search/en/detail.jsf?docId=US43181271&_cid=P11-MIZJXC-16524-1
30,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94399475&_cid=P11-MIZJXC-16524-1
31,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2009002962&_cid=P11-MIZJXC-16524-1
32,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211624851&_cid=P11-MIZJXC-16524-1
33,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93436309&_cid=P11-MIZJXC-16524-1
34,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36912297&_cid=P11-MIZJXC-16524-1
35,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37883459&_cid=P11-MIZJXC-16524-1
36,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38256699&_cid=P11-MIZJXC-16524-1
37,https://patentscope.wipo.int/search/en/detail.jsf?docId=KR75110668&_cid=P11-MIZJXC-16524-1
38,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37957501&_cid=P11-MIZJXC-16524-1
39,https://patentscope.wipo.int/search/en/detail.jsf?docId=US42125047&_cid=P11-MIZJXC-16524-1
40,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38147807&_cid=P11-MIZJXC-16524-1
41,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN309439078&_cid=P11-MIZJXC-16524-1
42,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019133880&_cid=P11-MIZJXC-16524-1
43,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP310551829&_cid=P11-MIZJXC-16524-1
44,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38009783&_cid=P11-MIZJXC-16524-1
45,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93853790&_cid=P11-MIZJXC-16524-1
46,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12166605&_cid=P11-MIZJXC-16524-1
47,https://patentscope.wipo.int/search/en/detail.jsf?docId=US39991183&_cid=P11-MIZJXC-16524-1
48,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94031710&_cid=P11-MIZJXC-16524-1
49,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP202595904&_cid=P11-MIZJXC-16524-1
50,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016057362&_cid=P11-MIZJXC-16524-1
51,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA205384789&_cid=P11-MIZJXC-16524-1
52,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA175384132&_cid=P11-MIZJXC-16524-1
53,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP106035162&_cid=P11-MIZJXC-16524-1
54,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2013052228&_cid=P11-MIZJXC-16524-1
55,https://patentscope.wipo.int/search/en/detail.jsf?docId=ZA1411600&_cid=P11-MIZJXC-16524-1
56,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP14369236&_cid=P11-MIZJXC-16524-1
57,https://patentscope.wipo.int/search/en/detail.jsf?docId=US40668722&_cid=P11-MIZJXC-16524-1
58,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2004044100&_cid=P11-MIZJXC-16524-1
59,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2004044099&_cid=P11-MIZJXC-16524-1
60,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018116172&_cid=P11-MIZJXC-16524-1
61,https://patentscope.wipo.int/search/en/detail.jsf?docId=US41898498&_cid=P11-MIZJXC-16524-1
62,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94372857&_cid=P11-MIZJXC-16524-1
63,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2007143149&_cid=P11-MIZJXC-16524-1
64,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023003609&_cid=P11-MIZJXC-16524-1
65,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211724561&_cid=P11-MIZJXC-16524-1
66,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38009784&_cid=P11-MIZJXC-16524-1
67,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37227347&_cid=P11-MIZJXC-16524-1
68,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA223798355&_cid=P11-MIZJXC-16524-1
69,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12723753&_cid=P11-MIZJXC-16524-1
70,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94154664&_cid=P11-MIZJXC-16524-1
71,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO1994029408&_cid=P11-MIZJXC-16524-1
72,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO1997013826&_cid=P11-MIZJXC-16524-1
73,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP13318095&_cid=P11-MIZJXC-16524-1
74,https://patentscope.wipo.int/search/en/detail.jsf?docId=US39480310&_cid=P11-MIZJXC-16524-1
75,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP14390793&_cid=P11-MIZJXC-16524-1
76,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP11175823&_cid=P11-MIZJXC-16524-1
77,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP189904940&_cid=P11-MIZJXC-16524-1
78,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211773884&_cid=P11-MIZJXC-16524-1
79,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015128033&_cid=P11-MIZJXC-16524-1
80,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP306980505&_cid=P11-MIZJXC-16524-1
81,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211830030&_cid=P11-MIZJXC-16524-1
82,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016096982&_cid=P11-MIZJXC-16524-1
83,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36656788&_cid=P11-MIZJXC-16524-1
84,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36787091&_cid=P11-MIZJXC-16524-1
85,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36996271&_cid=P11-MIZJXC-16524-1
86,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38071710&_cid=P11-MIZJXC-16524-1
87,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP11030703&_cid=P11-MIZJXC-16524-1
88,https://patentscope.wipo.int/search/en/detail.jsf?docId=US40491822&_cid=P11-MIZJXC-16524-1
89,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38147809&_cid=P11-MIZJXC-16524-1
90,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015137974&_cid=P11-MIZJXC-16524-1
91,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP276407438&_cid=P11-MIZJXC-16524-1
92,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38602321&_cid=P11-MIZJXC-16524-1
93,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12718332&_cid=P11-MIZJXC-16524-1
94,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP306978918&_cid=P11-MIZJXC-16524-1
95,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37642088&_cid=P11-MIZJXC-16524-1
96,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38242048&_cid=P11-MIZJXC-16524-1
97,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37931380&_cid=P11-MIZJXC-16524-1
98,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36628652&_cid=P11-MIZJXC-16524-1
99,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94613218&_cid=P11-MIZJXC-16524-1
100,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12163135&_cid=P11-MIZJXC-16524-1
101,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP12402891&_cid=P11-MIZJXC-16524-1
102,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38270033&_cid=P11-MIZJXC-16524-1
103,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37463796&_cid=P11-MIZJXC-16524-1
104,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO1992003520&_cid=P11-MIZJXC-16524-1
105,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA240385215&_cid=P11-MIZJXC-16524-1
106,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36765000&_cid=P11-MIZJXC-16524-1
107,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37764021&_cid=P11-MIZJXC-16524-1
108,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019104243&_cid=P11-MIZJXC-16524-1
109,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA295987778&_cid=P11-MIZJXC-16524-1
110,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38064902&_cid=P11-MIZJXC-16524-1
111,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016073605&_cid=P11-MIZJXC-16524-1
112,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211585750&_cid=P11-MIZJXC-16524-1
113,https://patentscope.wipo.int/search/en/detail.jsf?docId=US38479782&_cid=P11-MIZJXC-16524-1
114,https://patentscope.wipo.int/search/en/detail.jsf?docId=US39791659&_cid=P11-MIZJXC-16524-1
115,https://patentscope.wipo.int/search/en/detail.jsf?docId=US42769338&_cid=P11-MIZJXC-16524-1
116,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211548059&_cid=P11-MIZJXC-16524-1
117,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP11188778&_cid=P11-MIZJXC-16524-1
118,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2009085696&_cid=P11-MIZJXC-16524-1
119,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA94455588&_cid=P11-MIZJXC-16524-1
120,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018129022&_cid=P11-MIZJXC-16524-1
121,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP14289810&_cid=P11-MIZJXC-16524-1
122,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37305742&_cid=P11-MIZJXC-16524-1
123,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37287536&_cid=P11-MIZJXC-16524-1
124,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37305744&_cid=P11-MIZJXC-16524-1
125,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37364038&_cid=P11-MIZJXC-16524-1
