,urls
0,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024084512&_cid=P22-MIZIF6-17177-1
1,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP249466576&_cid=P22-MIZIF6-17177-1
2,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018054963&_cid=P22-MIZIF6-17177-1
3,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37863967&_cid=P22-MIZIF6-17177-1
4,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023156227&_cid=P22-MIZIF6-17177-1
5,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP444730322&_cid=P22-MIZIF6-17177-1
6,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP405672179&_cid=P22-MIZIF6-17177-1
7,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36956337&_cid=P22-MIZIF6-17177-1
8,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP350356777&_cid=P22-MIZIF6-17177-1
9,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2020202023&_cid=P22-MIZIF6-17177-1
10,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB176139144&_cid=P22-MIZIF6-17177-1
11,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP439571378&_cid=P22-MIZIF6-17177-1
12,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021152614&_cid=P22-MIZIF6-17177-1
13,https://patentscope.wipo.int/search/en/detail.jsf?docId=GB375143631&_cid=P22-MIZIF6-17177-1
14,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024129669&_cid=P22-MIZIF6-17177-1
15,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP406103295&_cid=P22-MIZIF6-17177-1
16,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36955012&_cid=P22-MIZIF6-17177-1
17,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP368648006&_cid=P22-MIZIF6-17177-1
18,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2010006386&_cid=P22-MIZIF6-17177-1
19,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP458121340&_cid=P22-MIZIF6-17177-1
20,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2025124744&_cid=P22-MIZIF6-17177-1
21,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP395659419&_cid=P22-MIZIF6-17177-1
22,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024095281&_cid=P22-MIZIF6-17177-1
23,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017130081&_cid=P22-MIZIF6-17177-1
24,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019154982&_cid=P22-MIZIF6-17177-1
25,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP313393032&_cid=P22-MIZIF6-17177-1
26,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP358104746&_cid=P22-MIZIF6-17177-1
27,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA105504648&_cid=P22-MIZIF6-17177-1
28,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2017023082&_cid=P22-MIZIF6-17177-1
29,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP243362466&_cid=P22-MIZIF6-17177-1
30,https://patentscope.wipo.int/search/en/detail.jsf?docId=US37132068&_cid=P22-MIZIF6-17177-1
31,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93453952&_cid=P22-MIZIF6-17177-1
32,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2024183956&_cid=P22-MIZIF6-17177-1
33,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP107068264&_cid=P22-MIZIF6-17177-1
34,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211651952&_cid=P22-MIZIF6-17177-1
35,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP358103181&_cid=P22-MIZIF6-17177-1
36,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2020251826&_cid=P22-MIZIF6-17177-1
37,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36666320&_cid=P22-MIZIF6-17177-1
38,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022078747&_cid=P22-MIZIF6-17177-1
39,https://patentscope.wipo.int/search/en/detail.jsf?docId=IN211682157&_cid=P22-MIZIF6-17177-1
40,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP459883427&_cid=P22-MIZIF6-17177-1
41,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA192194690&_cid=P22-MIZIF6-17177-1
42,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014207703&_cid=P22-MIZIF6-17177-1
43,https://patentscope.wipo.int/search/en/detail.jsf?docId=US36890604&_cid=P22-MIZIF6-17177-1
44,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP440661925&_cid=P22-MIZIF6-17177-1
45,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA93592340&_cid=P22-MIZIF6-17177-1
46,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2013190581&_cid=P22-MIZIF6-17177-1
